StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Where did you live before you began your degree at Teachers College? - City,Where did you live before you began your degree at Teachers College? - Country,"How much time did you spend this week in hours: - Coding (R, Java, SPSS, etc)",How much time did you spend this week in hours: - Writing papers for class,How much time did you spend this week in hours: - Reading/videos for class,How much time did you spend this week in hours: - Watching videos for fun,How much time did you spend this week in hours: - Cooking,How much time did you spend this week in hours: - Using social media,"How much time did you spend this week in hours: - Social activities (movies, restaurants, etc)"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID2_7""}"
2018-10-23 13:42:16,2018-10-23 13:42:40,1,,100,23,1,2018-10-23 13:42:40,R_21EsZW7q5FLT7Fj,,,,,40.7975006103515625,-73.96829986572265625,preview,EN,Melbourne,Australia,19,19,20,11,32,18,18
2018-10-23 16:07:30,2018-10-23 16:08:27,0,128.59.82.245,100,56,1,2018-10-23 16:08:27,R_1M6ZheIhQSiDUL7,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Boston,US,6,30,5,11,5,3,4
2018-10-23 16:07:32,2018-10-23 16:08:32,0,128.59.82.245,100,60,1,2018-10-23 16:08:32,R_3fjF5049FcjzSpd,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,"Columbus, OH",U.S,10,5,10,12,4,6,12
2018-10-23 16:07:32,2018-10-23 16:08:33,0,128.59.82.245,100,61,1,2018-10-23 16:08:33,R_ReIR1Kuu1qrkGrv,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Los Angeles,USA,10,5,15,20,5,10,15
2018-10-23 16:07:33,2018-10-23 16:08:37,0,128.59.82.245,100,63,1,2018-10-23 16:08:37,R_sBYuxcwF4lWwZot,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Berkeley,USA,4,0,4,3,2,2,2
2018-10-23 16:07:39,2018-10-23 16:08:48,0,128.59.82.245,100,69,1,2018-10-23 16:08:48,R_Z2KWYAq0YbcprGN,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,San Francisco,USA,10,6,4,5,4,15,30
2018-10-23 16:07:43,2018-10-23 16:08:51,0,128.59.82.245,100,68,1,2018-10-23 16:08:51,R_3ReGlpaHUnsz0yi,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Jakarta,Indonesia,15,0,7,60,,20,14
2018-10-23 16:07:34,2018-10-23 16:08:55,0,128.59.82.245,100,81,1,2018-10-23 16:08:56,R_cHFQHyroDE4GSbL,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Shanghai,China,6,6,6,14,6,29,30
2018-10-23 16:07:44,2018-10-23 16:08:57,0,128.59.82.245,100,72,1,2018-10-23 16:08:57,R_3EzZrn1fu5b8u0Z,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Pittsburgh,USA,5,0,1,1,1,1,2
2018-10-23 16:07:35,2018-10-23 16:09:01,0,128.59.82.245,100,85,1,2018-10-23 16:09:02,R_1207GpnRP3gUe4R,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Brooklyn,US,40,51,23,2,0,0,2
2018-10-23 16:07:39,2018-10-23 16:09:02,0,128.59.82.245,100,83,1,2018-10-23 16:09:02,R_1dLWUvYcI114WxO,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Eugene,U.S,2,9,4,5,3,5,1
2018-10-23 16:07:37,2018-10-23 16:09:02,0,128.59.82.245,100,85,1,2018-10-23 16:09:02,R_x3E4E7p306S7Fo5,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Hangzhou,China,10,1,4,2,8,34,6
2018-10-23 16:07:33,2018-10-23 16:09:04,0,128.59.82.245,100,91,1,2018-10-23 16:09:04,R_6riON4TdpI5zgzL,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Madison,US,12,,,2,3,2,2
2018-10-23 16:07:43,2018-10-23 16:09:04,0,128.59.82.245,100,81,1,2018-10-23 16:09:04,R_1DORP8tRwM6l9qn,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Appleton,United States of America,3,0,5,15,6,20,6
2018-10-23 16:07:33,2018-10-23 16:09:04,0,128.59.82.245,100,91,1,2018-10-23 16:09:05,R_1dakLXAodQZQgne,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Las Vegas,United States,20,10,7,10,10,8,12
2018-10-23 16:08:00,2018-10-23 16:09:08,0,128.59.82.245,100,68,1,2018-10-23 16:09:09,R_1NrAiPQZLRiixY7,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Brooklyn,USA,5,0,1,,2,4,20
2018-10-23 16:08:00,2018-10-23 16:09:11,0,128.59.82.245,100,70,1,2018-10-23 16:09:11,R_1hLKg44zuoKqYsF,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,"Champaign, IL",USA,4,2,4,6,2,20,5
2018-10-23 16:07:34,2018-10-23 16:09:11,0,128.59.82.245,100,96,1,2018-10-23 16:09:11,R_3PsDXzXWbjRSdTV,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Hong Kong,China,15,5,14,5,4,4,3
2018-10-23 16:08:17,2018-10-23 16:09:12,0,128.59.82.245,100,54,1,2018-10-23 16:09:12,R_2aQfZLpi5dyQVbO,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,NYC,US,25,5,12,5,9,7,27
2018-10-23 16:07:32,2018-10-23 16:09:12,0,128.59.82.245,100,100,1,2018-10-23 16:09:12,R_2VJ8FUt7LrTMpcL,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,San Diego,USA,9,7,7,11,4,,11
2018-10-23 16:08:00,2018-10-23 16:09:16,0,216.162.47.66,100,76,1,2018-10-23 16:09:16,R_3kH3GzSuweplaoj,,,,,52.279693603515625,4.755096435546875,anonymous,EN,Shanghai,China,10,0,3,27,8,30,19
2018-10-23 16:07:42,2018-10-23 16:09:17,0,128.59.82.245,100,95,1,2018-10-23 16:09:17,R_2Wv6bMTL8JhPRbr,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,State College,USA,12,0,20,7,,36,49
2018-10-23 16:07:41,2018-10-23 16:09:24,0,128.59.82.245,100,102,1,2018-10-23 16:09:24,R_2bQ9GYsBShIbNAZ,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Santa Barbara,US,41,0,0,11,0,11,21
2018-10-23 16:07:40,2018-10-23 16:09:25,0,128.59.82.245,100,104,1,2018-10-23 16:09:25,R_2dA9iM51rINnzGN,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Madison,US,4,30,5,4,1,3,4
2018-10-23 16:07:48,2018-10-23 16:09:25,0,128.59.82.245,100,97,1,2018-10-23 16:09:26,R_2UeYfKqwGUdxF9g,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Santo Domingo,Dominican Republic,20,10,5,,,2,
2018-10-23 16:07:39,2018-10-23 16:09:26,0,128.59.82.245,100,106,1,2018-10-23 16:09:26,R_2fdRc8iozj8PXkD,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,New York,USA,20,2,10,13,12,17,12
2018-10-23 16:07:43,2018-10-23 16:09:26,0,128.59.82.245,100,102,1,2018-10-23 16:09:26,R_e3tk4vfzHFBhRjb,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Chengdu,China,10,5,15,5,10,8,3
2018-10-23 16:07:58,2018-10-23 16:09:26,0,172.56.3.81,100,88,1,2018-10-23 16:09:26,R_30w7EKOqRhMBYMu,,,,,38.9600982666015625,-76.914703369140625,anonymous,EN,Chengdu,China,31,20,31,,4,9,3
2018-10-23 16:07:47,2018-10-23 16:09:36,0,128.59.82.245,100,109,1,2018-10-23 16:09:36,R_2E44vEBECIButEy,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Bangkok,Thailand,6,40,10,12,5,10,6
2018-10-23 16:07:57,2018-10-23 16:09:36,0,128.59.82.245,100,99,1,2018-10-23 16:09:36,R_3nNm7miYVyoBciB,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,BEIJING,CHINA,10,10,2,7,6,17,9
2018-10-23 16:07:53,2018-10-23 16:09:36,0,128.59.82.245,100,103,1,2018-10-23 16:09:37,R_2A0SnixRE4ia7U9,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Boston,US,7,2,1,10,5,35,11
2018-10-23 16:07:45,2018-10-23 16:09:42,0,128.59.82.245,100,116,1,2018-10-23 16:09:42,R_2zCHt9f7CbU8vcw,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,State college,USA,2,10,10,10,0,18,19
2018-10-23 16:07:44,2018-10-23 16:09:44,0,128.59.82.245,100,119,1,2018-10-23 16:09:44,R_3snNIGEXsQkYPQZ,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Berkeley,US,16,2,2,12,2,4,8
2018-10-23 16:08:20,2018-10-23 16:09:45,0,128.59.82.245,100,84,1,2018-10-23 16:09:45,R_2Y2KFqwv55WAqep,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,New York,United States,9,0,10,0,4,10,1
2018-10-23 16:07:45,2018-10-23 16:09:48,0,128.59.82.245,100,123,1,2018-10-23 16:09:49,R_1fltXxTwgy2jJtV,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,West Lafayette,USA,4,10,11,20,3,29,36
2018-10-23 16:07:42,2018-10-23 16:09:49,0,128.59.82.245,100,126,1,2018-10-23 16:09:49,R_3QJMOyCOJZBVzma,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Hubei,China,13,24,28,1,3,4,10
2018-10-23 16:07:36,2018-10-23 16:09:50,0,128.59.82.245,100,133,1,2018-10-23 16:09:50,R_ZrzanK7bTZzoo3T,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Pittsburgh,U.S.,4,9,12,7,5,6,7
2018-10-23 16:07:36,2018-10-23 16:10:00,0,128.59.82.245,100,144,1,2018-10-23 16:10:01,R_12mYAwNWSNgD3Vg,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Taipei,Taiwan,14,7,7,2,2,9,1
2018-10-23 16:08:29,2018-10-23 16:10:04,0,128.59.82.245,100,94,1,2018-10-23 16:10:05,R_3rYwFRJwBXZxBoL,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,New York,USA,10,0,10,0,3,5,10
2018-10-23 16:07:41,2018-10-23 16:10:05,0,128.59.82.245,100,144,1,2018-10-23 16:10:05,R_1jkTcqyzXgzOelC,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Minneapolis,USA,11,17,21,17,11,6,0
2018-10-23 16:07:53,2018-10-23 16:10:08,0,128.59.82.245,100,135,1,2018-10-23 16:10:08,R_1JVADEELfN3PFvz,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Changsha,China,20,,,10,0,15,20
2018-10-23 16:07:43,2018-10-23 16:10:08,0,128.59.82.245,100,145,1,2018-10-23 16:10:09,R_OMNYQaNjvKtZhId,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Shanghai,China,2,1,1,3,5,7,10
2018-10-23 16:07:53,2018-10-23 16:10:12,0,209.90.225.69,100,138,1,2018-10-23 16:10:12,R_XY5k9wtwieI5SWB,,,,,47.4889068603515625,-122.30120086669921875,anonymous,EN,Seattle,U.S.,6,18,18,20,10,16,10
2018-10-23 16:08:19,2018-10-23 16:10:17,0,128.59.82.245,100,118,1,2018-10-23 16:10:17,R_1ezPXE1rK9DaGfi,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,wuhan,china,6,2,10,28,14,60,23
2018-10-23 16:07:57,2018-10-23 16:10:47,0,128.59.82.245,100,170,1,2018-10-23 16:10:47,R_1CfnReWiCqAT4HP,,,,,40.7975006103515625,-73.96829986572265625,anonymous,EN,Shenzhen,China,3,12,16,5,3,8,2
